"","V1","V2","V3","V4","V5","V6"
"1",-8.06591284410449e-05,-0.00154291723561235,-0.000899645043097757,-2.5734165675845e-05,-0.000390949644302586,-0.0013520257632618
"2",-0.000802732858421243,-0.0174172225408599,-0.0303047166581675,-0.00302545766980637,-0.0353885631192849,-0.080394220624399
"3",-0.000842505039998559,-0.0206612776146314,-0.041733798751628,-0.00317811857431103,-0.0336077772169455,-0.077894523125
"4",-0.00501348946934361,-0.0738173284727489,-0.189281580061116,-0.00402889816376559,-0.0501016424341006,-0.124814536048911
"5",-0.00419385860767986,-0.0456330037828586,-0.113529037521579,-0.00341432826449543,-0.0203361995769347,-0.0600390153983386
"6",-0.00371689197332796,-0.0342408443303257,-0.080066651895891,-0.00576881787528986,-0.0401664868617428,-0.108800344154255
"7",-0.00838125700092402,-0.10280513481603,-0.250369437690926,-0.00317099544301248,-0.0291079096654715,-0.0721917265488763
"8",-4.87720400032572e-05,-0.00167194924961942,-0.00275879803063413,-4.80673588405057e-05,-0.00163420711683017,-0.00365047882390762
"9",-0.00454400798179422,-0.0499852522950927,-0.0254929683036588,-0.00317756108835558,-0.0507642814947304,-0.0750466005589984
"10",-0.00134883961108115,-0.0351275015020659,-0.0184718169437192,-0.00493793815616152,-0.0698306930552552,-0.0556886284901247
"11",-0.00926255382984144,-0.174588635329528,-0.091619250013144,-0.00953152112091926,-0.135519108256379,-0.0303020323541496
"12",-0.0029551164586506,-0.047399598702109,-0.117352498011453,-0.00662528438536626,-0.0676452113423621,-0.152541270846134
"13",-0.00303078184111323,-0.0540524022175473,-0.117081982223516,-0.00181563105872132,-0.0397720337650425,-0.0803053040367348
"14",-0.00337372535043333,-0.062032965793515,-0.0802304673650458,-0.00462870384911461,-0.0824763514225781,-0.119475786482479
"15",-0.00397881159234925,-0.0645846199602212,-0.0579033745362902,-0.00377059132906794,-0.0703737725683934,-0.106416539850087
"16",-0.00265881130089487,-0.0505458639238329,-0.00997130411335086,-0.0072633750153682,-0.0824417442782757,-0.00169134225173924
"17",-0.0114185227311463,-0.210475124017321,-0.0921100131086075,-0.00999803439058407,-0.162749968432072,-0.0412973991624349
"18",-0.000969859454746757,-0.0226025302440954,-0.0430924960392026,-0.00393104874893285,-0.0852882357587844,-0.158709189894359
"19",-0.0037357482036389,-0.0609919889759895,-0.11699849782877,-0.00473098271084974,-0.0483174419903268,-0.109254147125283
"20",-0.00568706769031203,-0.059529925495594,-0.118212703590061,-0.00373612878398821,-0.0468630192441324,-0.0808880134638522
"21",-0.00178281153638803,-0.0416315663822748,-0.0757286209387148,-0.00393876025224488,-0.0633053296889396,-0.116297479543049
"22",-0.00110555691461506,-0.0273001168065705,-0.0337370389694283,-0.00161941569917233,-0.0202096894741068,-0.0260282353164698
"23",-2.34589652830504e-18,-3.81226751595718e-13,1.79107423318799e-11,3.93502969762814e-18,1.05826614288237e-10,-4.37784980278484e-09
"24",0,0,0,-8.89710800838943e-15,-7.79867872007654e-11,3.14113804422252e-09
"25",-0.00611074275428619,-0.0724851880767197,-0.184208610407662,-0.00492782987036643,-0.0557626385905302,-0.106745094894885
"26",-8.03593888664511e-05,-0.0018809944309256,-0.000427988665953998,-0.000500237780856325,-0.0085559229299474,-0.000447857484029585
"27",-0.00497626080970158,-0.0800517412104715,-0.128629514035962,-0.0084563345907661,-0.0970078993249004,-0.120055129521417
"28",-0.00188671393843156,-0.0261447513569671,-0.0451243924690996,-0.00629791841475576,-0.0473216901084337,-0.0848132555333397
"29",-0.0165548895964531,-0.0920735227001108,-0.0971349868494294,-0.0107456180997506,-0.0946710026403651,-0.0603349883293079
"30",0,0,0,-2.97583426249853e-18,-1.3651931529103e-10,5.64754953149237e-09
"31",-0.011190892938308,-0.13765506983212,-0.0370553109993263,-0.0149773929882019,-0.205129097173185,-0.0573237853161423
"32",-0.0037409379455838,-0.0467292385795022,-0.127132962089695,-0.00570247222425933,-0.051305057156686,-0.120215655602807
"33",-0.000687414097360764,-0.0148396128489345,-0.0156297881621062,-0.000734886812428707,-0.0110275127843582,-0.0132951699606777
"34",-0.000208342057437862,-0.00640957360316124,-0.00562981959956027,-0.00101638302195635,-0.0189638652099048,-0.0298784045616904
"35",-0.000901631841683748,-0.0224983571269719,-0.0357070953514432,-0.000255435942328591,-0.0085396521984471,-0.0142843289791472
"36",-0.00036441486056158,-0.0102017800628817,-0.00833652365665859,-0.000292608692744841,-0.00438193731371076,-0.00272245924081827
"37",-0.000214415993613848,-0.00109973395934444,-0.00561951679848331,-0.000371436983081943,-0.00571700258813857,-0.0161544927353603
"38",-3.26235430978982e-05,-0.00080270244450002,-0.00275168201482222,-0.000101978010987658,-0.00136747718731983,-0.00566246259313186
"39",-0.000243355481950043,-0.00279765078268772,-0.00699153209409634,-0.000140561647264103,-0.00202323691888856,-0.00647420351650604
"40",-0.000451024491066192,-0.00613042684818174,-0.00304637620668635,-0.000543971067818103,-0.00755477430647165,0.00185543810393421
"41",-9.76620260343905e-05,-0.00411464620091171,-0.0056968582060267,-9.45702735727626e-05,-0.00297645582823868,-0.00376483167466592
"42",-0.00111084562338598,-0.0168013836202213,-0.0371486007915806,-0.000598263976349992,-0.0133598608076726,-0.0263642419671743
"43",-0.00211997216547235,-0.0352608350728009,-0.00573220203240303,-0.00216604513347491,-0.0217340926032248,-0.00145654787854534
"44",-0.000462148495181071,-0.0115173250839609,-0.0208481080320301,-8.07725189867149e-05,-0.00232265220547108,-0.00131221570612362
"45",-0.0118494810893342,-0.0653547151903494,0.00699503791325235,-0.00148421784023213,-0.0181894951929239,-0.00294035000887684
"46",-0.00137318101726797,-0.0140564660768928,-0.00285081174824413,-0.000259358950088283,-0.00511534411153727,-0.00172664415694153
"47",-0.00202694557610843,-0.0275124692054968,-0.00241273408281692,-0.00152263033541858,-0.0224515459351426,-0.000188080587673067
"48",-0.00126688106922944,-0.0238960788623935,-0.00263918968921665,-0.000141681095685347,-0.00364498844103135,-0.000328607737357935
"49",-0.000656253528633293,-0.0177388015983209,-0.0210881623001383,-0.000137034981719703,-0.00265869725578402,-0.000599831702743821
"50",-0.00528961174784673,-0.0850964269411294,-0.0273886533096626,-0.000143113866473684,-0.00412200013487478,-0.000976721565809583
"51",-1.99196105041017e-08,-8.31527824799222e-07,-5.95302903825328e-07,-4.5142391690015e-14,8.8616964404811e-12,-5.08001717538369e-10
"52",-0.000512952126336486,-0.0083994265824897,-0.00705698609145456,-0.00168649206893249,-0.0202972894695654,-0.00760768451566666
"53",-0.000731877275639468,-0.0156872213358129,-0.0279103435075552,-0.000105902746552575,-0.00129138924168315,-0.00057676981236336
"54",-6.59980414284062e-06,-0.000182597183030919,-1.5351413707366e-05,-0.00034193707242748,-0.00368761504414846,-0.000317114313015954
"55",-0.000101377311564977,-0.00176524706564203,4.56124266106394e-05,-0.00013563437577948,-0.00212102345575927,-0.000402046858210372
"56",-0.000770300276389837,-0.0135670762059612,-0.000412736791184918,-0.000402802053419855,-0.00628452177301674,0.00153635263437993
"57",-0.000233486191978936,-0.0019773434231424,-0.00543111680780093,-0.000334140467783672,-0.00732180026662114,-0.0134251660720079
"58",-0.000157826756223374,-0.00267447188723366,-0.00762528131106791,-0.000204315538795684,-0.00366367197559654,-0.00990389301343619
"59",-0.000275848137898994,-0.00248069117233179,-0.00592983916856218,-0.000235075983408786,-0.00538298389670285,-0.00893500907620913
"60",-0.000150750660859377,-0.00139072713661275,-0.0044353430243471,-9.81691666781502e-06,-0.000116067233402346,-0.000568949564568852
"61",-0.000119717164811749,-0.00311592602119253,-0.00690883714452783,-4.23832819891775e-05,-0.00148231611173334,-0.00334893581446936
"62",-0.0106800110598132,-0.0429241228947294,-0.0315300363965468,-0.0038622830226074,-0.0352331455283989,-0.0502270849812315
"63",0,0,0,-3.67760455067822e-18,-1.23035306301577e-10,5.08974124005404e-09
"64",-0.000204343729888062,-0.00542052007938646,-0.0117385965260844,-7.82959709604037e-05,-0.000687193818019662,-0.00316362005332539
"65",-0.00144078666940237,-0.0231859076399028,-0.0423501056618011,-0.000695262170129153,-0.0129836246435265,-0.0288152097238179
"66",-0.000537500119567941,-0.0109296649581973,-0.0246843328381799,-6.76336969786216e-05,-0.00247742014244728,-0.00517897171863459
"67",0,0,0,6.47869028566168e-19,2.48628272117059e-11,-1.02852879964307e-09
"68",-0.00187154265250464,-0.0274711599386362,0.00365129167739716,-0.00224183730836409,-0.0245378106463097,0.00175427941399643
"69",-0.00255342960132932,-0.0134959655843147,0.000323948968934687,-0.000842141540602221,-0.00781613658615538,-0.000792298703989943
"70",-0.00271010669928016,-0.00898072082279805,0.00177933913006765,-0.000600598596277486,-0.00628553982776293,-0.00258108463387393
"71",-0.00147226721078298,-0.0154448777705167,-0.0240415125965025,-0.00101317591411048,-0.0152426894640452,-0.00775535032216078
"72",-0.00448658024030084,-0.0698082661733222,-0.0114039830319141,-0.00142302603464803,-0.0220579289598545,0.000382585804877321
"73",-0.000743401112140241,-0.00879261708730297,-0.0118092087681913,-0.000565347485863863,-0.00495287203387052,-0.00427370717167974
"74",-0.0013912057576886,-0.0121263482168438,0.00296478201950512,-4.6799822185394e-05,-0.000957106039552469,-0.000565522051362089
"75",-0.00139198054489696,-0.0145928795570895,0.00362048605587905,-0.00220381087063215,-0.0205123296854039,0.00385932974770899
"76",-0.000818142806460189,-0.0107880996949819,-0.00213429984051336,-0.000521478126699036,-0.00473146579583139,-0.00976964792845618
"77",-1.32500257409371e-13,-1.57945994768657e-11,-6.12576293459269e-11,-1.1683418543719e-07,-7.96169225313725e-06,-2.05749463755991e-05
"78",-3.81292576244458e-05,-0.00100669963212639,-0.000891305986198413,-6.5606897100222e-05,-0.000766826336590048,-0.00275803803757865
"79",-5.15070362422168e-08,-2.53638616091534e-06,-1.27850837525365e-06,-1.75094513228789e-13,-2.136455735511e-10,8.19480211470906e-09
"80",0,0,0,-3.26243529888106e-06,-6.4099336088662e-05,-2.292748965011e-06
"81",0,0,0,-1.32367615933551e-09,-1.10950649019296e-07,-5.92655680927271e-08
"82",-0.0019707220731755,-0.0376071844763079,-0.0783439305019797,-0.00107822719117972,-0.0096957433936499,-0.0156160456112741
"83",-7.64273245554253e-05,-0.00171774572291415,-0.000437522198569084,-1.59343908523438e-05,-0.000456785029191517,-0.000425461144525854
"84",-0.0202844067005783,-0.191244530489496,-0.0327689697880195,-0.0177313328260672,-0.201744537792671,0.0233838969731565
"85",-1.8306916354937e-05,-0.000341324018297278,-4.20346183951212e-05,-4.42509075599786e-06,-0.000162555301930816,-0.000135606445102632
"86",-1.10279616297986e-07,-6.71047636773097e-06,-5.39898602459866e-06,-8.41180375083191e-07,-2.65226316091632e-05,-3.05832945626379e-06
"87",-0.000213475717042452,-0.00157208646479177,-0.00711920271349829,-2.53911917893378e-05,-0.000313279566491039,-0.00112726850685178
"88",-0.000137619683026592,-0.000528160304611756,-0.00143980716461914,-0.000111815017475475,-0.0024622281691236,-0.00374865558495403
"89",0,0,0,-2.01137852311809e-05,-0.000535022711693634,-3.6685423346899e-05
"90",-0.00118093726375321,-0.0143351614532966,-0.0110683923110073,-0.000167730616074393,-0.00308672841044926,-0.00483805720854634
"91",-0.00070018298213595,-0.0102459703864054,-0.0028297890593122,-1.80075276945495e-05,-0.000498013569288103,-5.55719510553973e-05
"92",-0.00019918874062602,-0.00390744813294838,-0.0011560246860807,-2.22237603945436e-05,-0.000563610304995008,-0.000106555879839222
"93",0,0,0,-0.00198844072349193,-0.0195849442561619,0.00332313489723247
"94",-1.67256320972089e-05,-0.000229665329546137,-0.000197154785056145,-0.000111163071634085,-0.00175142250941565,-0.00171340192800411
"95",-4.66668300279133e-05,-0.0010040180067554,-0.00171730515361432,-0.000163467078065697,-0.00277041517293247,-0.00346963518917204
"96",-0.000791123843533988,-0.0115187948638459,-0.0119110107956198,-0.00291838108925614,-0.0278457137522141,-0.0157838872567838
