"","V1","V2","V3","V4","V5","V6"
"1",-1.07881252426376e-06,-6.45049521830157e-05,4.55894059286187e-05,-1.77781084856434e-05,-0.000469695208728399,0.000499067695269844
"2",-0.00181366771952534,-0.0705020812540155,0.0404700342535573,-0.00698726900071296,-0.0742759873648173,0.0446076311095782
"3",-0.00222245240415489,-0.063463722298076,0.0406870235914427,-0.00405464754399913,-0.0952985888936517,0.056026554229937
"4",-0.00520097150903566,-0.117524563517477,0.0809519126886439,-0.00694546559763081,-0.168912378479037,0.11101227703108
"5",-0.00875395689020339,-0.15001696196089,0.1009894390804,-0.00392986132125369,-0.0787574524557474,0.0568407205623657
"6",-0.00144447807542534,-0.0328295861233081,0.0215974144849741,-0.00113524335595778,-0.0359935383774168,0.0250163437965965
"7",-0.000263634792274131,-0.008212033495711,0.00385073383216561,-0.000197820097794275,-0.00548003496509868,0.0032119385510897
"8",-0.00409753192239738,-0.046082968069649,-0.0237175314749462,-0.00367607146524794,-0.0731521861364502,0.02272858721261
"9",-0.0030327578013971,-0.0554435219040569,-0.030266760899283,-0.00781690660391444,-0.102367683526447,0.00585404992536415
"10",-0.00549329538365127,-0.0758203030828812,-0.0512284206660617,-0.00906522413137059,-0.107828386786737,-0.10440023911622
"11",-0.00522782537836738,-0.117419465605211,0.0765251788624104,-0.00845436603790778,-0.125042875755089,0.0767173519147432
"12",-0.00774003694381907,-0.16209823803507,0.107072457118292,-0.00655474234347216,-0.151519256206746,0.0801308874551804
"13",-0.00434622092864879,-0.0702828169213658,0.0073601322334503,-0.00605672066657758,-0.104865938006237,0.0198885981573523
"14",-0.00558521476544378,-0.102544589408076,0.00918847367179133,-0.00556883677666612,-0.124287563174813,0.0384956649763503
"15",-0.00295940479992393,-0.0406692988949099,-0.0302928969498698,-0.0114488043487424,-0.103293693272479,-0.0672810275058198
"16",-0.0137698231431451,-0.204488776853483,-0.106883511890163,-0.0148845377671942,-0.184921378137941,-0.104515916385652
"17",-0.00543188117118624,-0.166557302812657,0.10859083338249,-0.00840140668567772,-0.180757684972698,0.102934120660914
"18",-0.00621186633973084,-0.158663485868051,0.102105034957366,-0.0149604978182016,-0.192275620469321,0.123178595196394
"19",-0.0200020319261858,-0.169898823776538,0.102748726746162,-0.0185527961182573,-0.195905482832099,0.132259630861058
"20",-0.00318873772319204,-0.100748460977285,0.0592423647193968,-0.00887210357298404,-0.136456950426326,0.0777447380910349
"21",-0.00203420492034517,-0.0592823979665799,0.0220827753535289,-0.00153097038683739,-0.0338707782481752,0.0112702261168113
"22",0,0,0,-2.1483543951814e-11,-3.54600870715559e-09,8.29949010880567e-09
"23",-0.00623740422644324,-0.121670513225761,0.0589281323201167,-0.0072657393682299,-0.133874119767239,0.0698391306443784
"24",-0.00607868773480425,-0.120688851492768,0.0633919543302891,-0.00880339430811339,-0.10873579018251,0.0613847071425457
"25",-2.69490532182647e-05,-0.000919530761629716,2.60377130324873e-05,-0.000518622380443641,-0.00665777806966681,-0.00512950715466822
"26",-0.00781939708233652,-0.154825242419603,0.0516842119117468,-0.013585713866625,-0.224222585158629,0.109208878656256
"27",-0.00979166522647744,-0.119357309308179,0.0565393817145987,-0.0147933792851737,-0.165302110374205,0.0857225151868338
"28",-0.0028254359041781,-0.0617395118316238,0.019062742206586,-0.0077714873951319,-0.0928634968006656,0.0514396046876224
"29",-0.0149408570164141,-0.132994308411956,0.0440464710626139,-0.0229239881621191,-0.181240108449705,0.10139573305911
"30",-0.000809899429738292,-0.0262837285979158,0.0142800472632334,-0.000825434965366283,-0.0332789755269108,0.0196897024456518
"31",0,0,0,1.26566237477064e-17,-4.33026389047308e-11,5.21759558892197e-09
